PluginName,SkillName,SkillDescription
DruvaSentinelPlugin,GetAdminActivitiesinLastNDays,"Get admin activities in Last N Days"
DruvaSentinelPlugin,ShowIPAddressUsedbyDruvaAdmin,"Get IP address used by admin in Last N Days"
DruvaSentinelPlugin,ShowDataAccessEventsinDruva,"Get Data Access Events-Restores, Downloads data from Druva cloud"
DruvaSentinelPlugin,ShowDataAccessEventsinDruvaByIPAddress,"Get Data Access Events-Restores, Downloads data from Druva cloud by ip address"
AzureAiSearch,SearchAzureAiSearchIndex,"Search and retrieve text content from your Azure AI Search index."
WAF,GetTopRulesTriggered,"Get top Azure Web Application Firewall rules triggered by block action in the specified period."
WAF,GetTopBlocksByIP,"Get top malicious IPs blocked by Azure Web Application Firewall in the specified period."
WAF,GetSQLiBlocksByWAF,"Get details about SQL injection attacks blocked by Azure Web Application Firewall."
WAF,GetXSSBlocksByWAF,"Get details about cross-site scripting attacks blocked by Azure Web Application Firewall."
Entra,AccessReviewAgent,"Helps users explore and understand their in-progress access reviews in Microsoft Entra ID."
Entra,AccessReviewAgentBeta,"Helps users explore and understand their in-progress access reviews in Microsoft Entra ID."
Entra,AccessPackageAccessReviewRecommendationSkill,"@""Get all access package assignments and their user details along with recommendations.
            Parameters:
            - accessReviewDefinitionId (required)
            - accessReviewLatestInstanceId (required)

            Return the json list of users with their user details and recommendations, justifications, and confidence."
Entra,AccessReviewRecommendationSkill,"@""Get the identities and their details along with recommendations.
            Parameters:
            - accessReviewDefinitionId (required)
            - accessReviewLatestInstanceId (required)
            - resourceType (required, ex: Group, Application, AccessPackage)

            Returns information about each user's data, including:
            - id (User ID)
            - displayName (Display name)
            - userPrincipalName (User principal name (email))
            - accountEnabled (Account enabled status)
            - department (Department)
            - employeeLeaveDateTime (Employee leave date)
            - employeeHireDate (Employee hire date)
            - employeeType (Employee type)
            - userType (User type)
            - jobTitle (Job title)
            - createdDateTime (Created date)
            - lastSignInDateTime (Users last signin date) 
            - activityNames (List of entra id actions performed)
            - lastActivityDateTime (Last entra id action date)
            - recommendation (Recommendation)
            - justification (Justification)
            - confidence (Confidence level in recommendation)

            Return the json list of users with their user details and recommendations, justifications, and confidence."
Entra,AccessReviewsInstanceDecisionSkill,"Decision details of the latest instance of an access review definition"
Entra,ApplicationAccessReviewRecommendationSkill,"@""Get all app role assignments of a specific Azure AD application identified by its ID and their user details along with recommendations.
            Parameters:
            - accessReviewDefinitionId (required)
            - accessReviewLatestInstanceId (required)

            Returns information about each user's data, including:
            - id (User ID)
            - displayName (Display name)
            - userPrincipalName (User principal name (email))
            - accountEnabled (Account enabled status)
            - department (Department)
            - employeeLeaveDateTime (Employee leave date)
            - employeeHireDate (Employee hire date)
            - employeeType (Employee type)
            - userType (User type)
            - jobTitle (Job title)
            - createdDateTime (Created date)
            - lastSignInDateTime (Users last sign-in date)
            - activityNames (List of entra id actions performed)
            - lastActivityDateTime (Last entra id action date)
            - recommendation (Recommendation)
            - justification (Justification)
            - confidence (Confidence level in recommendation)

            Return the json list of users with their user details and recommendations, justifications, and confidence."
Entra,ConsolidatedLifecycleWorkflowsSkill,"Summarizes Lifecycle Workflows requests"
Entra,FetchInProgressAccessReviewsInstancesSkill,"Fetch All InProgress Access Reviews Instances"
Entra,GetEntraApplication,"View list of Microsoft Entra ID applications or view property details of each application by id, appId or displayName in Microsoft Entra."
Entra,GetEntraApplicationOutsideTenant,"View list of Microsoft Entra ID service principals that have associated app registrations registered outside the your tenant."
Entra,GetEntraAuditLogs,"View changes to applications, groups, users, and licenses in Microsoft Entra ID"
Entra,GetEntraDiagnosticsLogs,"View settings for diagnostic log collection and streaming of activity logs in Microsoft Entra ID"
Entra,GetEntraGroupDetailsV1,"Search Microsoft Entra ID groups"
Entra,GetEntraNull,"This skill serves as a default selection when no suitable match is found in the available skill set. "
Entra,GetEntraRiskyServicePrincipals,"View list of Microsoft Entra ID service principals with high, medium, low risk of compromise."
Entra,GetEntraRiskyUsers,"View details of Microsoft Entra ID users with high, medium, or low risk of compromise"
Entra,GetEntraServicePrincipalDetails,"View Microsoft Entra ID service principal details."
Entra,GetEntraServicePrincipalPermissionsGranted,"Lists the permissions granted on a service principal."
Entra,GetEntraSignInLogsV1,"View Microsoft Entra ID sign-in log details including policy evaluation results, and details on the location, device, and target resource"
Entra,GetEntraUnusedApplication,"View list of Microsoft Entra ID applications that are unused."
Entra,GetEntraUserDetailsV1,"View contact information, authentication method registration, group membership and ownership info, and account details for users in Microsoft Entra ID."
Entra,GroupAccessReviewRecommendationSkill,"@""Get all members of a specific Azure AD group identified by its ID and their user details along with recommendations.
            Parameters:
            - accessReviewDefinitionId (required)
            - accessReviewLatestInstanceId (required)

            Returns information about each user's data, including:
            - id (User ID)
            - displayName (Display name)
            - userPrincipalName (User principal name (email))
            - accountEnabled (Account enabled status)
            - department (Department)
            - employeeLeaveDateTime (Employee leave date)
            - employeeHireDate (Employee hire date)
            - employeeType (Employee type)
            - userType (User type)
            - jobTitle (Job title)
            - createdDateTime (Created date)
            - lastSignInDateTime (Users last signin date) 
            - activityNames (List of entra id actions performed)
            - lastActivityDateTime (Last entra id action date)
            - recommendation (Recommendation)
            - justification (Justification)
            - confidence (Confidence level in recommendation)

            Return the json list of users with their user details and recommendations, justifications, and confidence."
Entra,LifecycleWorkflowsCompareVersionsSkill,"Compares two Microsoft Entra ID Lifecycle Workflows versions and provides a summary"
Entra,ProcessAccessReviewsInstanceSkill,"Process Access Reviews Instance"
Entra,UserAccessReviewInProgressSkill,"List all the access review schedule definition where the current user is reviewer. For each review, it includes details like the access review definition name, who created it, its status, start and end dates, and the display name of the resource being reviewed.\"","
Web,FetchUrl,"Downloads the content from an anonymously accessible URL. If the content is HTML then it is converted to Markdown or plain text format."
ReversingLabsSpectraAnalyze,GetTiCoreReport,"Get the TiCore analysis report of the provided file hash from Spectra Analyze.
"
ReversingLabsSpectraAnalyze,GetFileClassification,"Get the classification of the provided file hash from Spectra Analyze.
"
Intel471,SearchMalwareIntelligenceIndicators,"Get a list of malware indicators (IPv4 address, URL and file hashes) matching filter criteria.
"
Intel471,SearchMalwareFamilies,"Get a list of Malware Families matching filter criteria.
"
Intel471,SearchMalwareReports,"Get a list of Malware Intelligence Reports matching filter criteria
"
Intel471,SearchVulnerabilityReports,"Get a list of Vulnerability (CVE) Reports matching filter criteria.
"
Intel471,SearchThreatActors,"Get a list of threat actors, associated reports and underground forum activity.
"
Intel471,SearchThreatActorsInReports,"Get a list of Information or FINTEL reports discussing threat actor's activity.
"
Intel471,SearchBreachAlerts,"Get a list of Breach Alerts matching filter criteria.
"
CyberArk,AccountsGetAccounts,"Get a list of privileged accounts from CyberArk.
"
CyberArk,AccountsGetAccount,"Get detailed information about a privileged account identified by its id.
"
UrlScan,"Scan Url","Scans a URL using the Url Scan API"
Jamf,"Raw Inventory Record","Get entire macOS inventory record from Jamf Pro by providing its serial number
"
Jamf,"General and Location Info","Get General information (host name, username, last checkin, last inventory update ip address, jamf version, and more) from the inventory record by serial number.
"
Jamf,"Hardware and Security Info","Get macOS Hardware info and Security settings (model ID, os version, Filevault status, SIP status, Gatekeeper status, XProtect version, firewall status and more) from the inventory record in Jamf Pro by providing serial number.
"
Jamf,"Certificates Info","Get Certificates information for a macOS device from the Jamf Pro inventory record by providing the macOS serial number.
"
Jamf,"Software Info","Get macOS software information (installed applications, available updates, fonts, plugins and more) for an endpoint from the Jamf Pro inventory record by providing the mac serial number.
"
Jamf,"Extension Attributes Info","Get custom (specific to the cusotmer) attribute information for a macOS endpoint from the Jamf inventory record by providing the mac serial number.
#Example What is the value of [insert customer specific inventory attribute] for this mac H2WFP7BPQ6NV?
"
Jamf,"Groups Info","Get group membership (Jamf Pro smart and static groups) information for a macOS endpoint from the jamf inventory record by providing the mac serial number.
"
Jamf,"Configuration Profiles Info","Get Configuration Profiles (profile ids) information from the inventory record by serial number.
"
Agents,InteractiveAgentPlanner,"Generates a structured, multi-step execution plan that the agent will follow to fulfill a user's request."
"Orchestrator.InteractiveAgent",,
Visualization,,
NL2KQL,,
"Orchestrator.Common",,
MSGraph,,
CodeExecutor,,
DOTNET,,
"Microsoft.M365D.PhishingTriageAgent",,
"Microsoft.SecurityCopilot.AppRiskAgent",,
LearnKnowledgeService,,
